ticker,name,sector,price_12,price_11,price_10,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,current_price
SYY,SYY,Other,72.31,75.69,75.42,70.15,73.06,77.36,79.88,80.55,82.82,72.9,75.91,72.62,72.62
T,AT&T Inc,Telecom,24.25,27.72,28.48,27.64,27.93,28.88,27.75,29.08,27.55,24.53,25.79,24.56,24.56
TAP,TAP,Other,53.39,61.29,61.24,57.25,52.87,49.07,48.21,50.25,46.03,43.22,46.91,47.4,47.4
TDG,TDG,Other,1352.78,1370.82,1397.44,1434.19,1453.77,1512.81,1585.0,1304.88,1300.8,1300.0,1354.86,1358.55,1358.55
TDY,TDY,Other,507.5,512.96,498.33,466.26,494.24,511.57,544.69,537.91,575.07,518.32,492.56,518.77,518.77
TECH,TECH,Other,72.05,61.19,57.35,49.63,48.61,52.08,54.89,53.42,59.92,61.26,63.76,59.65,59.65
TEL,TEL,Other,145.06,150.6,140.7,146.36,159.87,170.27,201.93,204.56,221.69,246.87,225.75,233.22,233.22
TER,TER,Other,111.09,105.78,82.61,73.78,79.49,91.92,104.16,120.61,141.12,183.07,179.63,207.56,207.56
TFC,TFC,Other,46.89,45.43,41.02,38.59,39.23,44.2,42.96,46.42,45.57,44.22,46.57,49.74,49.74
TGT,Target Corp,Consumer,134.16,120.76,104.43,95.97,93.32,103.85,99.77,92.44,89.14,91.45,91.36,100.51,100.51
TJX,TJX,Other,124.31,123.54,122.72,127.63,128.43,125.16,126.0,138.57,144.32,140.41,151.13,154.28,154.28
TKO,TKO,Other,157.05,147.79,152.99,163.16,159.55,175.61,165.61,185.35,198.76,187.71,193.98,206.94,206.94
TMO,Thermo Fisher,Healthcare,593.75,523.64,482.97,419.89,396.47,421.47,463.04,487.53,530.73,564.88,585.15,592.51,592.51
TMUS,T-Mobile US,Telecom,238.1,272.83,268.54,247.0,243.06,241.51,237.2,255.89,233.26,203.32,206.63,199.58,199.58
TPL,TPL,Other,444.27,452.13,450.95,435.38,370.05,356.23,311.6,314.11,319.33,308.22,284.58,297.97,297.97
TPR,TPR,Other,73.53,84.09,72.89,70.49,78.56,86.94,106.31,102.79,113.83,106.33,112.1,129.07,129.07
TRGP,TRGP,Other,201.73,195.68,203.07,162.34,162.35,171.97,162.92,166.72,168.07,156.09,176.68,186.77,186.77
TRMB,TRMB,Other,74.12,69.68,65.38,62.54,70.84,76.46,82.64,78.57,79.41,79.57,81.67,78.33,78.33
TROW,TROW,Other,115.27,103.88,92.27,88.12,92.15,98.67,103.06,105.6,101.07,101.71,101.59,104.63,104.63
TRV,TRV,Other,244.6,260.84,264.54,261.45,276.34,267.0,258.32,273.35,277.24,267.66,290.5,285.19,285.19
TSCO,TSCO,Other,54.58,54.9,55.13,50.35,47.86,54.08,57.63,61.52,55.92,52.49,53.66,50.83,50.83
TSLA,Tesla Inc,Consumer,383.68,284.65,268.46,280.52,342.69,300.71,302.63,329.36,459.46,468.37,430.14,438.07,438.07
TSN,TSN,Other,57.74,61.83,63.11,60.61,56.16,57.35,52.53,56.54,54.47,51.63,58.3,58.04,58.04
TT,TT,Other,360.52,346.24,341.65,392.62,430.36,434.17,439.25,410.93,425.41,446.31,410.16,398.0,398.0
TTD,TTD,Other,117.94,67.17,57.1,53.06,74.77,73.49,86.08,54.18,49.32,49.12,39.58,37.68,37.68
TTWO,TTWO,Other,186.07,208.05,210.13,235.17,227.6,240.1,220.58,240.95,255.4,255.65,249.34,251.6,251.6
TXN,Texas Instruments,Technology,180.94,194.39,177.99,158.26,184.21,210.45,180.86,199.81,180.39,161.46,168.16,177.52,177.52
TXT,TXT,Other,75.43,74.02,72.16,70.27,73.53,80.98,77.23,79.53,85.21,79.98,82.0,87.05,87.05
TYL,TYL,Other,603.01,606.39,584.53,539.6,564.72,590.05,581.65,552.49,500.74,467.02,465.55,435.83,435.83
UAL,UAL,Other,104.83,91.67,68.2,69.16,81.23,80.05,84.57,104.68,93.15,96.11,101.12,113.01,113.01
UBER,Uber Technologies,Technology,67.29,74.44,72.99,80.89,83.64,92.13,86.91,92.81,96.61,99.72,86.57,82.86,82.86
UDR,UDR,Other,41.73,46.04,45.17,42.6,41.41,40.86,38.67,38.42,36.92,33.79,36.09,36.69,36.69
UHS,UHS,Other,190.71,175.8,187.81,174.63,187.38,188.94,162.98,181.51,203.51,220.7,239.43,219.88,219.88
ULTA,ULTA,Other,408.14,348.86,373.91,392.93,475.68,473.44,507.73,532.52,556.04,517.43,547.64,620.04,620.04
UNH,UnitedHealth Group,Healthcare,548.18,467.05,523.12,400.68,304.72,326.14,237.77,308.8,348.3,333.79,323.21,336.4,336.4
UNP,UNP,Industrial,243.02,245.81,237.17,214.08,218.89,235.57,219.4,221.99,234.74,218.82,231.36,231.91,231.91
UPS,United Parcel Service,Industrial,111.29,119.26,109.26,94.6,97.36,104.47,84.5,85.23,84.38,94.09,95.22,101.02,101.02
URI,URI,Other,738.21,617.52,631.99,640.6,691.15,774.14,859.62,958.77,962.92,857.41,805.24,845.06,845.06
USB,USB,Other,46.87,46.24,41.77,40.5,43.62,46.49,43.94,48.52,47.88,46.62,49.41,53.93,53.93
V,Visa Inc,Finance,345.82,361.82,346.35,342.45,365.32,355.47,339.35,350.07,347.83,336.9,330.39,346.48,346.48
VICI,VICI,Other,29.79,32.65,32.44,31.51,31.77,32.98,33.11,33.34,32.91,30.09,28.59,28.15,28.15
VLO,VLO,Energy,136.18,128.4,133.74,114.88,128.3,138.01,133.18,154.28,167.67,171.6,180.54,165.31,165.31
VLTO,VLTO,Other,101.17,99.87,97.62,94.21,100.28,102.6,104.75,105.28,106.04,98.94,100.97,98.5,98.5
VMC,VMC,Other,271.16,239.77,237.27,263.63,263.38,264.67,274.94,292.49,301.64,288.55,291.85,292.65,292.65
VRSK,VRSK,Other,290.94,301.33,298.61,294.51,316.99,312.95,271.89,265.0,249.55,215.4,224.01,221.02,221.02
VRSN,VRSN,Other,216.02,240.16,254.98,279.7,275.56,289.08,265.37,273.2,274.92,244.56,251.02,240.53,240.53
VRTX,VRTX,Other,470.37,483.31,484.74,498.86,445.43,452.16,462.13,401.0,404.21,426.0,425.6,452.13,452.13
VST,VST,Other,168.53,123.95,122.24,137.3,167.47,185.1,208.05,185.81,201.51,193.04,173.64,165.23,165.23
VTR,VTR,Other,61.36,70.36,69.27,65.54,64.09,62.87,67.5,67.92,70.32,74.13,80.39,77.33,77.33
VTRS,VTRS,Other,11.04,9.33,8.6,8.47,8.69,9.18,8.81,10.56,10.09,10.53,10.7,12.46,12.46
VZ,Verizon Comm,Telecom,39.98,43.87,45.38,43.3,44.1,43.68,42.88,43.8,43.83,39.47,40.74,40.52,40.52
